link,name,college,Rk,Year,Rd,Pk
/players/w/wilcoch01.html,Chris Wilcox,University of Maryland,8,2002,1,8
/players/s/stoudam01.html,Amar'e Stoudemire,,9,2002,1,9
/players/b/butleca01.html,Caron Butler,University of Connecticut,10,2002,1,10
/players/j/jeffrja01.html,Jared Jeffries,Indiana University,11,2002,1,11
/players/e/elyme01.html,Melvin Ely,"California State University, Fresno",12,2002,1,12
/players/h/haislma01.html,Marcus Haislip,University of Tennessee,13,2002,1,13
/players/j/jonesfr01.html,Fred Jones,University of Oregon,14,2002,1,14
/players/n/nachbbo01.html,Bostjan Nachbar,,15,2002,1,15
/players/w/welscji01.html,Jiri Welsch,,16,2002,1,16
/players/d/dixonju01.html,Juan Dixon,University of Maryland,17,2002,1,17
/players/b/borchcu01.html,Curtis Borchardt,Stanford University,18,2002,1,18
/players/h/humphry01.html,Ryan Humphrey,University of Notre Dame,19,2002,1,19
/players/r/rushka01.html,Kareem Rush,University of Missouri,20,2002,1,20
/players/w/woodsqy01.html,Qyntel Woods,Northeast Mississippi Community College,21,2002,1,21
/players/j/jacobca01.html,Casey Jacobsen,Stanford University,22,2002,1,22
/players/p/princta01.html,Tayshaun Prince,University of Kentucky,23,2002,1,23
/players/k/krstine01.html,Nenad Krstic,,24,2002,1,24
/players/w/willifr02.html,Frank Williams,University of Illinois at Urbana-Champaign,25,2002,1,25
/players/s/salmojo01.html,John Salmons,University of Miami,26,2002,1,26
/players/j/jeffech01.html,Chris Jefferies,"California State University, Fresno",27,2002,1,27
/players/d/dickada01.html,Dan Dickau,Gonzaga University,28,2002,1,28
,Steve Logan,University of Cincinnati,29,2002,2,30
/players/m/masonro01.html,Roger Mason,University of Virginia,30,2002,2,31
/players/a/archiro01.html,Robert Archibald,University of Illinois at Urbana-Champaign,31,2002,2,32
/players/y/yarbrvi01.html,Vincent Yarbrough,University of Tennessee,32,2002,2,33
/players/g/gadzuda01.html,Dan Gadzuric,"University of California, Los Angeles",33,2002,2,34
/players/b/boozeca01.html,Carlos Boozer,Duke University,34,2002,2,35
,Milos Vujanic,,35,2002,2,36
/players/a/anderda03.html,David Andersen,,36,2002,2,37
/players/m/maddoti01.html,Tito Maddox,"California State University, Fresno",37,2002,2,38
,Rod Grizzard,University of Alabama,38,2002,2,39
/players/n/navarju01.html,Juan Carlos Navarro,,39,2002,2,40
/players/k/kasunma01.html,Mario Kasun,,40,2002,2,41
/players/m/murraro01.html,Ronald Murray,Shaw University,41,2002,2,42
,Jason Jennings,Arkansas State University,42,2002,2,43
/players/b/baxtelo01.html,Lonny Baxter,University of Maryland,43,2002,2,44
,Sam Clancy,University of Southern California,44,2002,2,45
/players/b/barnema02.html,Matt Barnes,"University of California, Los Angeles",45,2002,2,46
/players/s/sampsja01.html,Jamal Sampson,University of California,46,2002,2,47
/players/o/owensch01.html,Chris Owens,University of Texas at Austin,47,2002,2,48
,Peter Fehse,,48,2002,2,49
/players/s/songada01.html,Darius Songaila,Wake Forest University,49,2002,2,50
,Federico Kammerichs,,50,2002,2,51
,Marcus Taylor,Michigan State University,51,2002,2,52
/players/b/butlera01.html,Rasual Butler,La Salle University,52,2002,2,53
/players/s/slayta01.html,Tamar Slay,Marshall University,53,2002,2,54
,Mladen Sekularac,,54,2002,2,55
/players/s/scolalu01.html,Luis Scola,,55,2002,2,56
/players/h/holcora01.html,Randy Holcomb,San Diego State University,56,2002,2,57
/players/e/edwarco01.html,Corsley Edwards,Central Connecticut State University,57,2002,2,58
/players/j/jamesle01.html,LeBron James,,1,2003,1,1
/players/m/milicda01.html,Darko Milicic,,2,2003,1,2
/players/a/anthoca01.html,Carmelo Anthony,Syracuse University,3,2003,1,3
/players/b/boshch01.html,Chris Bosh,Georgia Institute of Technology,4,2003,1,4
/players/w/wadedw01.html,Dwyane Wade,Marquette University,5,2003,1,5
/players/k/kamanch01.html,Chris Kaman,Central Michigan University,6,2003,1,6
/players/h/hinriki01.html,Kirk Hinrich,University of Kansas,7,2003,1,7
/players/f/fordtj01.html,T.J. Ford,University of Texas at Austin,8,2003,1,8
/players/s/sweetmi01.html,Mike Sweetney,Georgetown University,9,2003,1,9
/players/h/hayesja01.html,Jarvis Hayes,University of Georgia,10,2003,1,10
/players/p/pietrmi01.html,Mickael Pietrus,,11,2003,1,11
/players/c/collini01.html,Nick Collison,University of Kansas,12,2003,1,12
/players/b/banksma01.html,Marcus Banks,"University of Nevada, Las Vegas",13,2003,1,13
/players/r/ridnolu01.html,Luke Ridnour,University of Oregon,14,2003,1,14
/players/g/gainere01.html,Reece Gaines,University of Louisville,15,2003,1,15
/players/b/belltr01.html,Troy Bell,Boston College,16,2003,1,16
/players/c/cabarza01.html,Zarko Cabarkapa,,17,2003,1,17
/players/w/westda01.html,David West,Xavier University,18,2003,1,18
/players/p/pavloal01.html,Sasha Pavlovic,,19,2003,1,19
/players/j/jonesda02.html,Dahntay Jones,Duke University,20,2003,1,20
/players/d/diawbo01.html,Boris Diaw,,21,2003,1,21
/players/p/planizo01.html,Zoran Planinic,,22,2003,1,22
/players/o/outlatr01.html,Travis Outlaw,,23,2003,1,23
/players/c/cookbr01.html,Brian Cook,University of Illinois at Urbana-Champaign,24,2003,1,24
/players/d/delfica01.html,Carlos Delfino,,25,2003,1,25
/players/e/ebind01.html,Ndudi Ebi,,26,2003,1,26
/players/p/perkike01.html,Kendrick Perkins,,27,2003,1,27
/players/b/barbole01.html,Leandro Barbosa,,28,2003,1,28
/players/h/howarjo01.html,Josh Howard,Wake Forest University,29,2003,1,29
/players/l/lampema01.html,Maciej Lampe,,30,2003,2,30
/players/k/kaponja01.html,Jason Kapono,"University of California, Los Angeles",31,2003,2,31
/players/w/waltolu01.html,Luke Walton,University of Arizona,32,2003,2,32
/players/b/beaslje01.html,Jerome Beasley,University of North Dakota,33,2003,2,33
/players/s/schorso01.html,Sofoklis Schortsanitis,,34,2003,2,34
/players/s/szewcsz01.html,Szymon Szewczyk,,35,2003,2,35
/players/a/austima01.html,Mario Austin,Mississippi State University,36,2003,2,36
/players/h/hansetr01.html,Travis Hansen,Brigham Young University,37,2003,2,37
/players/b/blakest01.html,Steve Blake,University of Maryland,38,2003,2,38
/players/v/vranesl01.html,Slavko Vranes,,39,2003,2,39
/players/z/zimmede01.html,Derrick Zimmerman,Mississippi State University,40,2003,2,40
/players/g/greenwi01.html,Willie Green,University of Detroit Mercy,41,2003,2,41
/players/p/pachuza01.html,Zaza Pachulia,,42,2003,2,42
/players/b/boganke01.html,Keith Bogans,University of Kentucky,43,2003,2,43
,Malick Badiane,,44,2003,2,44
/players/b/bonnema01.html,Matt Bonner,University of Florida,45,2003,2,45
/players/b/becirsa01.html,Sani Becirovic,,46,2003,2,46
/players/w/willima01.html,Mo Williams,University of Alabama,47,2003,2,47
/players/l/langja01.html,James Lang,,48,2003,2,48
/players/j/jonesja02.html,James Jones,University of Miami,49,2003,2,49
/players/m/morlepa01.html,Paccelis Morlende,,50,2003,2,50
/players/k/korveky01.html,Kyle Korver,Creighton University,51,2003,2,51
,Remon Van de Hare,,52,2003,2,52
,Tommy Smith,Arizona State University,53,2003,2,53
/players/s/sinanne01.html,Nedzad Sinanovic,,54,2003,2,54
,Rick Rickert,University of Minnesota,55,2003,2,55
/players/h/huntebr01.html,Brandon Hunter,Ohio University,56,2003,2,56
/players/y/yuyanxu01.html,Xue Yuyang,,57,2003,2,57
/players/g/glynian01.html,Andreas Glyniadakis,,58,2003,2,58
/players/h/howardw01.html,Dwight Howard,,1,2004,1,1
/players/o/okafoem01.html,Emeka Okafor,University of Connecticut,2,2004,1,2
/players/g/gordobe01.html,Ben Gordon,University of Connecticut,3,2004,1,3
/players/l/livinsh01.html,Shaun Livingston,,4,2004,1,4
/players/h/harride01.html,Devin Harris,University of Wisconsin,5,2004,1,5
/players/c/childjo01.html,Josh Childress,Stanford University,6,2004,1,6
/players/d/denglu01.html,Luol Deng,Duke University,7,2004,1,7
/players/a/araujra01.html,Rafael Araujo,Brigham Young University,8,2004,1,8
/players/i/iguodan01.html,Andre Iguodala,University of Arizona,9,2004,1,9
/players/j/jackslu02.html,Luke Jackson,University of Oregon,10,2004,1,10
/players/b/biedran01.html,Andris Biedrins,,11,2004,1,11
/players/s/swiftro01.html,Robert Swift,,12,2004,1,12
/players/t/telfase01.html,Sebastian Telfair,,13,2004,1,13
/players/h/humphkr01.html,Kris Humphries,University of Minnesota,14,2004,1,14
/players/j/jeffeal01.html,Al Jefferson,,15,2004,1,15
/players/s/snydeki01.html,Kirk Snyder,"University of Nevada, Reno",16,2004,1,16
/players/s/smithjo03.html,Josh Smith,,17,2004,1,17
/players/s/smithjr01.html,J.R. Smith,,18,2004,1,18
/players/w/wrighdo01.html,Dorell Wright,,19,2004,1,19
/players/n/nelsoja01.html,Jameer Nelson,Saint Joseph's University,20,2004,1,20
/players/p/podkopa01.html,Pavel Podkolzin,,21,2004,1,21
/players/k/khryavi01.html,Viktor Khryapa,,22,2004,1,22
/players/m/moniase01.html,Sergei Monia,,23,2004,1,23
/players/w/westde01.html,Delonte West,Saint Joseph's University,24,2004,1,24
/players/a/allento01.html,Tony Allen,Oklahoma State University,25,2004,1,25
/players/m/martike02.html,Kevin Martin,Western Carolina University,26,2004,1,26
/players/v/vujacsa01.html,Sasha Vujacic,,27,2004,1,27
/players/u/udrihbe01.html,Beno Udrih,,28,2004,1,28
/players/h/harrida01.html,David Harrison,University of Colorado,29,2004,1,29
/players/v/varejan01.html,Anderson Varejao,,30,2004,2,30
/players/v/vromaja01.html,Jackson Vroman,Iowa State University,31,2004,2,31
/players/r/ramospe01.html,Peter John Ramos,,32,2004,2,32
/players/c/chalmli01.html,Lionel Chalmers,Xavier University,33,2004,2,33
/players/s/smithdo04.html,Donta Smith,Southeastern Illinois College,34,2004,2,34
/players/e/emmetan01.html,Andre Emmett,Texas Tech University,35,2004,2,35
/players/b/burksan01.html,Antonio Burks,University of Memphis,36,2004,2,36
/players/i/iveyro01.html,Royal Ivey,University of Texas at Austin,37,2004,2,37
/players/d/duhonch01.html,Chris Duhon,Duke University,38,2004,2,38
/players/m/miralal01.html,Albert Miralles,,39,2004,2,39
/players/r/reedju01.html,Justin Reed,University of Mississippi,40,2004,2,40
,David Young,North Carolina Central University,41,2004,2,41
/players/s/sanikvi01.html,Viktor Sanikidze,,42,2004,2,42
/players/a/arizatr01.html,Trevor Ariza,"University of California, Los Angeles",43,2004,2,43
,Tim Pickett,Florida State University,44,2004,2,44
/players/r/robinbe01.html,Bernard Robinson,University of Michigan,45,2004,2,45
/players/s/seungha01.html,Ha Seung-Jin,,46,2004,2,46
/players/s/sowpa01.html,Pape Sow,"California State University, Fullerton",47,2004,2,47
,Ricky Minard,Morehead State University,48,2004,2,48
/players/l/lishcse01.html,Sergei Lishouk,,49,2004,2,49
