name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year,bbrID,pick_overall,pick_number,pick_round,nba_median_vorp_rank,nba_mean_vorp_rank,nba_median_pipm_rank,nba_mean_pipm_rank,valid_seasons
Louis Truscott,https://www.sports-reference.com/cbb/players/louis-truscott-1.html,69,,,,University of Houston,1998,,,,,,,,,
Craig Dawson,https://www.sports-reference.com/cbb/players/craig-dawson-1.html,70,,,,Wake Forest University,1998,,,,,,,,,
Luke Walton,/players/w/waltolu01.html,71,2003,2,32,University of Arizona,1998,waltolu01,32,32,2,105,105,132.5,132.5,2
Desmond Herod,https://www.sports-reference.com/cbb/players/desmond-herod-1.html,72,,,,Seton Hall University,1998,,,,,,,,,
Udonis Haslem,/players/h/hasleud01.html,72,,,,University of Florida,1998,hasleud01,,,,150,136.75,113.5,111.25,8
Scott Clark,,74,1998,,,,1998,,50,50,2,,,,,
Jerome Moiso,/players/m/moisoje01.html,75,2000,1,11,"University of California, Los Angeles",1998,moisoje01,11,11,1,,,,,0
Antwan Scott,https://www.sports-reference.com/cbb/players/antwan-scott-1.html,76,,,,Wake Forest University,1998,,,,,,,,,
J.R. Vanhoose,https://www.sports-reference.com/cbb/players/jr-vanhoose-1.html,77,,,,Marshall University,1998,,,,,,,,,
Schea Cotton,https://www.sports-reference.com/cbb/players/schea-cotton-1.html,78,,,,University of Alabama,1998,,,,,,,,,
David Hamilton,https://www.sports-reference.com/cbb/players/david-hamilton-1.html,79,,,,Auburn University,1998,,,,,,,,,
Lonny Baxter,/players/b/baxtelo01.html,80,2002,2,44,University of Maryland,1998,baxtelo01,43,44,2,,,,,0
Kueth Duany,https://www.sports-reference.com/cbb/players/kueth-duany-1.html,81,,,,Syracuse University,1998,,,,,,,,,
Steve Bynes,,82,1998,,,,1998,,50,50,2,,,,,
John Salmons,/players/s/salmojo01.html,82,2002,1,26,University of Miami,1998,salmojo01,26,26,1,121.5,126.2,157.5,142.2,10
Traves Wilson,https://www.sports-reference.com/cbb/players/traves-wilson-1.html,82,,,,Illinois State University,1998,,,,,,,,,
Ajou Deng,https://www.sports-reference.com/cbb/players/ajou-deng-1.html,85,,,,University of Connecticut,1998,,,,,,,,,
Tyrus Boswell,https://www.sports-reference.com/cbb/players/tyrus-boswell-1.html,86,,,,Mississippi State University,1998,,,,,,,,,
Chris Jefferies,/players/j/jeffech01.html,87,2002,1,27,"California State University, Fresno",1998,jeffech01,27,27,1,,,,,0
Marqus Ledoux,https://www.sports-reference.com/cbb/players/marqus-ledoux-1.html,88,,,,University of Tulsa,1998,,,,,,,,,
David Graves,https://www.sports-reference.com/cbb/players/david-graves-1.html,88,,,,University of Notre Dame,1998,,,,,,,,,
Damon Hancock,https://www.sports-reference.com/cbb/players/damon-hancock-1.html,90,,,,Southern Methodist University,1998,,,,,,,,,
Dahntay Jones,/players/j/jonesda02.html,91,2003,1,20,Duke University,1998,jonesda02,20,20,1,186.5,186.5,177,177,2
Dennis Gates,https://www.sports-reference.com/cbb/players/dennis-gates-1.html,92,,,,University of California,1998,,,,,,,,,
Mack McGadney,https://www.sports-reference.com/cbb/players/mack-mcgadney-1.html,93,,,,Auburn University,1998,,,,,,,,,
Jermaine Williams,https://www.sports-reference.com/cbb/players/jermaine-williams-1.html,94,,,,Louisiana State University,1998,,,,,,,,,
Kyle Hornsby,https://www.sports-reference.com/cbb/players/kyle-hornsby-1.html,95,,,,Indiana University,1998,,,,,,,,,
Donte Smith,https://www.sports-reference.com/cbb/players/donte-smith-1.html,96,,,,University of California,1998,,,,,,,,,
Dennis Nathan,https://www.sports-reference.com/cbb/players/dennis-nathan-1.html,97,,,,"California State University, Fresno",1998,,,,,,,,,
Aaron Matthews,https://www.sports-reference.com/cbb/players/aaron-matthews-1.html,98,,,,Delaware State University,1998,,,,,,,,,
Sam Haginas,https://www.sports-reference.com/cbb/players/sam-haginas-1.html,98,,,,University of Alabama,1998,,,,,,,,,
Brian Brown,https://www.sports-reference.com/cbb/players/brian-brown-2.html,100,,,,Ohio State University,1998,,,,,,,,,
Donnell Harvey,/players/h/harvedo01.html,1,2000,1,22,University of Florida,1999,harvedo01,22,22,1,147,147,156,156,1
Keith Bogans,/players/b/boganke01.html,2,2003,2,43,University of Kentucky,1999,boganke01,43,43,2,138,128,157,146.2,5
Jay Williams,/players/w/willija03.html,3,2002,1,2,Duke University,1999,willija03,2,2,1,145,145,161,161,1
Joseph Forte,/players/f/fortejo01.html,4,2001,1,21,University of North Carolina,1999,fortejo01,21,21,1,,,,,0
Marvin Stone,https://www.sports-reference.com/cbb/players/marvin-stone-1.html,5,,,,University of Louisville,1999,,,,,,,,,
LaVell Blanchard,https://www.sports-reference.com/cbb/players/lavell-blanchard-1.html,6,,,,University of Michigan,1999,,,,,,,,,
Brett Nelson,https://www.sports-reference.com/cbb/players/brett-nelson-1.html,7,,,,University of Florida,1999,,,,,,,,,
Jonathan Bender,/players/b/bendejo01.html,8,1999,1,5,,1999,bendejo01,5,5,1,149,149,149,149,1
